Input	Match type	Approved symbol	Approved name	HGNC ID	Location
NR4A1	Approved symbol	NR4A1	nuclear receptor subfamily 4, group A, member 1	HGNC:7980	12q13
NR4A2	Approved symbol	NR4A2	nuclear receptor subfamily 4, group A, member 2	HGNC:7981	2q22-q23
NR5A1	Approved symbol	NR5A1	nuclear receptor subfamily 5, group A, member 1	HGNC:7983	9q33
NR5A2	Approved symbol	NR5A2	nuclear receptor subfamily 5, group A, member 2	HGNC:7984	1q32.11
NR6A1	Approved symbol	NR6A1	nuclear receptor subfamily 6, group A, member 1	HGNC:7985	9q33.3
NRF1	Approved symbol	NRF1	nuclear respiratory factor 1	HGNC:7996	7q32
OAZ1	Approved symbol	OAZ1	ornithine decarboxylase antizyme 1	HGNC:8095	19p13.3
ONECUT1	Approved symbol	ONECUT1	one cut homeobox 1	HGNC:8138	15q21.3
OTP	Approved symbol	OTP	orthopedia homeobox	HGNC:8518	5q14.1
OTX1	Approved symbol	OTX1	orthodenticle homeobox 1	HGNC:8521	2p15
OTX2	Approved symbol	OTX2	orthodenticle homeobox 2	HGNC:8522	14q22.3
OVOL2	Approved symbol	OVOL2	ovo-like zinc finger 2	HGNC:15804	20p11.23
PARP1	Approved symbol	PARP1	poly (ADP-ribose) polymerase 1	HGNC:270	1q41-q42
PATZ1	Approved symbol	PATZ1	POZ (BTB) and AT hook containing zinc finger 1	HGNC:13071	22q12.2
PAX1	Approved symbol	PAX1	paired box 1	HGNC:8615	20p11.22
PAX2	Approved symbol	PAX2	paired box 2	HGNC:8616	10q24.31
PAX3	Approved symbol	PAX3	paired box 3	HGNC:8617	2q36.1
PAX4	Approved symbol	PAX4	paired box 4	HGNC:8618	7q32.1
PAX5	Approved symbol	PAX5	paired box 5	HGNC:8619	9p13.2
PAX6	Approved symbol	PAX6	paired box 6	HGNC:8620	11p13
PAX7	Approved symbol	PAX7	paired box 7	HGNC:8621	1p36.13
PAX8	Approved symbol	PAX8	paired box 8	HGNC:8622	2q13
PBX1	Approved symbol	PBX1	pre-B-cell leukemia homeobox 1	HGNC:8632	1q23.3
PDX1	Approved symbol	PDX1	pancreatic and duodenal homeobox 1	HGNC:6107	13q12.1
PGR	Approved symbol	PGR	progesterone receptor	HGNC:8910	11q22-q23
PITX1	Approved symbol	PITX1	paired-like homeodomain 1	HGNC:9004	5q31.1
PITX2	Approved symbol	PITX2	paired-like homeodomain 2	HGNC:9005	4q25
PITX3	Approved symbol	PITX3	paired-like homeodomain 3	HGNC:9006	10q24.32
PKNOX1	Approved symbol	PKNOX1	PBX/knotted 1 homeobox 1	HGNC:9022	21q22.3
PKNOX2	Approved symbol	PKNOX2	PBX/knotted 1 homeobox 2	HGNC:16714	11q24.2
POU1F1	Approved symbol	POU1F1	POU class 1 homeobox 1	HGNC:9210	3p11.2
POU2AF1	Approved symbol	POU2AF1	POU class 2 associating factor 1	HGNC:9211	11q23.1
POU2F1	Approved symbol	POU2F1	POU class 2 homeobox 1	HGNC:9212	1q24.2
POU2F2	Approved symbol	POU2F2	POU class 2 homeobox 2	HGNC:9213	19q13.2
POU2F3	Approved symbol	POU2F3	POU class 2 homeobox 3	HGNC:19864	11q23.3
POU3F1	Approved symbol	POU3F1	POU class 3 homeobox 1	HGNC:9214	1p34.3
POU3F2	Approved symbol	POU3F2	POU class 3 homeobox 2	HGNC:9215	6q16.2
POU3F3	Approved symbol	POU3F3	POU class 3 homeobox 3	HGNC:9216	2q12.1
POU3F4	Approved symbol	POU3F4	POU class 3 homeobox 4	HGNC:9217	Xq21.1
POU4F3	Approved symbol	POU4F3	POU class 4 homeobox 3	HGNC:9220	5q32
POU5F1	Approved symbol	POU5F1	POU class 5 homeobox 1	HGNC:9221	6p21.33
POU6F1	Approved symbol	POU6F1	POU class 6 homeobox 1	HGNC:9224	12q13.13
PPARA	Approved symbol	PPARA	peroxisome proliferator-activated receptor alpha	HGNC:9232	22q12-q13.1
PPARD	Approved symbol	PPARD	peroxisome proliferator-activated receptor delta	HGNC:9235	6p21.2
PPARG	Approved symbol	PPARG	peroxisome proliferator-activated receptor gamma	HGNC:9236	3p25
PRDM1	Approved symbol	PRDM1	PR domain containing 1, with ZNF domain	HGNC:9346	6q21
PROP1	Approved symbol	PROP1	PROP paired-like homeobox 1	HGNC:9455	5q35.3
PRRX1	Approved symbol	PRRX1	paired related homeobox 1	HGNC:9142	1q24.3
PRRX2	Approved symbol	PRRX2	paired related homeobox 2	HGNC:21338	9q34.11
PURA	Approved symbol	PURA	purine-rich element binding protein A	HGNC:9701	5q31
RARA	Approved symbol	RARA	retinoic acid receptor, alpha	HGNC:9864	17q21.1
RAX	Approved symbol	RAX	retina and anterior neural fold homeobox	HGNC:18662	18q21.31
RB1	Approved symbol	RB1	retinoblastoma 1	HGNC:9884	13q14.2
RBPJ	Approved symbol	RBPJ	recombination signal binding protein for immunoglobulin kappa J region	HGNC:5724	4p15.2
REL	Approved symbol	REL	v-rel avian reticuloendotheliosis viral oncogene homolog	HGNC:9954	2p13-p12
RELA	Approved symbol	RELA	v-rel avian reticuloendotheliosis viral oncogene homolog A	HGNC:9955	11q13
RELB	Approved symbol	RELB	v-rel avian reticuloendotheliosis viral oncogene homolog B	HGNC:9956	19q13.32
REST	Approved symbol	REST	RE1-silencing transcription factor	HGNC:9966	4q12
RFX1	Approved symbol	RFX1	regulatory factor X, 1 (influences HLA class II expression)	HGNC:9982	19p13.1
RFX2	Approved symbol	RFX2	regulatory factor X, 2 (influences HLA class II expression)	HGNC:9983	19p13.3
RFX5	Approved symbol	RFX5	regulatory factor X, 5 (influences HLA class II expression)	HGNC:9986	1q21
RORA	Approved symbol	RORA	RAR-related orphan receptor A	HGNC:10258	15q21-q22
RORB	Approved symbol	RORB	RAR-related orphan receptor B	HGNC:10259	9q22
RREB1	Approved symbol	RREB1	ras responsive element binding protein 1	HGNC:10449	6p25
RUNX1	Approved symbol	RUNX1	runt-related transcription factor 1	HGNC:10471	21q22.3
RUNX2	Approved symbol	RUNX2	runt-related transcription factor 2	HGNC:10472	6p21
RUNX3	Approved symbol	RUNX3	runt-related transcription factor 3	HGNC:10473	1p36
RXRA	Approved symbol	RXRA	retinoid X receptor, alpha	HGNC:10477	9q34
RXRB	Approved symbol	RXRB	retinoid X receptor, beta	HGNC:10478	6p21.3
SATB1	Approved symbol	SATB1	SATB homeobox 1	HGNC:10541	3p24.3
SHOX2	Approved symbol	SHOX2	short stature homeobox 2	HGNC:10854	3q25.32
SIRT6	Approved symbol	SIRT6	sirtuin 6	HGNC:14934	19p13.3
SIX1	Approved symbol	SIX1	SIX homeobox 1	HGNC:10887	14q23.1
SIX2	Approved symbol	SIX2	SIX homeobox 2	HGNC:10888	2p21
SIX3	Approved symbol	SIX3	SIX homeobox 3	HGNC:10889	2p21
SIX4	Approved symbol	SIX4	SIX homeobox 4	HGNC:10890	14q23.1
SIX6	Approved symbol	SIX6	SIX homeobox 6	HGNC:10892	14q23.1
SMAD1	Approved symbol	SMAD1	SMAD family member 1	HGNC:6767	4q31.21
SMAD2	Approved symbol	SMAD2	SMAD family member 2	HGNC:6768	18q21
SMAD3	Approved symbol	SMAD3	SMAD family member 3	HGNC:6769	15q21-q22
SMAD4	Approved symbol	SMAD4	SMAD family member 4	HGNC:6770	18q21.1
SMAD7	Approved symbol	SMAD7	SMAD family member 7	HGNC:6773	18q21.1
SOX10	Approved symbol	SOX10	SRY (sex determining region Y)-box 10	HGNC:11190	22q13.1
SOX17	Approved symbol	SOX17	SRY (sex determining region Y)-box 17	HGNC:18122	8q11.23
SOX2	Approved symbol	SOX2	SRY (sex determining region Y)-box 2	HGNC:11195	3q26.3-q27
SOX21	Approved symbol	SOX21	SRY (sex determining region Y)-box 21	HGNC:11197	13q31-q32
SOX4	Approved symbol	SOX4	SRY (sex determining region Y)-box 4	HGNC:11200	6p22.3
SOX5	Approved symbol	SOX5	SRY (sex determining region Y)-box 5	HGNC:11201	12p12.1
SOX9	Approved symbol	SOX9	SRY (sex determining region Y)-box 9	HGNC:11204	17q24.3
SP1	Approved symbol	SP1	Sp1 transcription factor	HGNC:11205	12q13.1
SP2	Approved symbol	SP2	Sp2 transcription factor	HGNC:11207	17q21.3-q22
SP3	Approved symbol	SP3	Sp3 transcription factor	HGNC:11208	2q31
SP4	Approved symbol	SP4	Sp4 transcription factor	HGNC:11209	7p15
SPI1	Approved symbol	SPI1	spleen focus forming virus (SFFV) proviral integration oncogene	HGNC:11241	11p12-p11.22
SPIB	Approved symbol	SPIB	Spi-B transcription factor (Spi-1/PU.1 related)	HGNC:11242	19q13.3-q13.4
SPZ1	Approved symbol	SPZ1	spermatogenic leucine zipper 1	HGNC:30721	5q14.1
SREBF1	Approved symbol	SREBF1	sterol regulatory element binding transcription factor 1	HGNC:11289	17p11.2
SREBF2	Approved symbol	SREBF2	sterol regulatory element binding transcription factor 2	HGNC:11290	22q13.2
SRF	Approved symbol	SRF	serum response factor (c-fos serum response element-binding transcription factor)	HGNC:11291	6p
SRY	Approved symbol	SRY	sex determining region Y	HGNC:11311	Yp11.3
STAT1	Approved symbol	STAT1	signal transducer and activator of transcription 1, 91kDa	HGNC:11362	2q32.2-q32.3
STAT2	Approved symbol	STAT2	signal transducer and activator of transcription 2, 113kDa	HGNC:11363	12q13.2
STAT3	Approved symbol	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	HGNC:11364	17q21
STAT4	Approved symbol	STAT4	signal transducer and activator of transcription 4	HGNC:11365	2q32.2-q32.3
STAT5A	Approved symbol	STAT5A	signal transducer and activator of transcription 5A	HGNC:11366	17q11.2
STAT5B	Approved symbol	STAT5B	signal transducer and activator of transcription 5B	HGNC:11367	17q11.2
STAT6	Approved symbol	STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	HGNC:11368	12q13
T	Approved symbol	T	T, brachyury homolog (mouse)	HGNC:11515	6q27
TAL1	Approved symbol	TAL1	T-cell acute lymphocytic leukemia 1	HGNC:11556	1p32
TBP	Approved symbol	TBP	TATA box binding protein	HGNC:11588	6q27
TBX15	Approved symbol	TBX15	T-box 15	HGNC:11594	1p11.1
TBX18	Approved symbol	TBX18	T-box 18	HGNC:11595	6q14.1-q15
TBX22	Approved symbol	TBX22	T-box 22	HGNC:11600	Xq21.1
TBX5	Approved symbol	TBX5	T-box 5	HGNC:11604	12q24.1
TCF12	Approved symbol	TCF12	transcription factor 12	HGNC:11623	15q21
TCF3	Approved symbol	TCF3	transcription factor 3	HGNC:11633	19p13.3
TCF4	Approved symbol	TCF4	transcription factor 4	HGNC:11634	18q21.1
TCF7	Approved symbol	TCF7	transcription factor 7 (T-cell specific, HMG-box)	HGNC:11639	5q31
TEF	Approved symbol	TEF	thyrotrophic embryonic factor	HGNC:11722	22q13.2
TERF1	Approved symbol	TERF1	telomeric repeat binding factor (NIMA-interacting) 1	HGNC:11728	8q21.11
TFAP2A	Approved symbol	TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	HGNC:11742	6p24.3
TFAP2B	Approved symbol	TFAP2B	transcription factor AP-2 beta (activating enhancer binding protein 2 beta)	HGNC:11743	6p12
TFAP2C	Approved symbol	TFAP2C	transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma)	HGNC:11744	20q13.2
TFAP4	Approved symbol	TFAP4	transcription factor AP-4 (activating enhancer binding protein 4)	HGNC:11745	16p13
TFCP2	Approved symbol	TFCP2	transcription factor CP2	HGNC:11748	12q13
TFCP2L1	Approved symbol	TFCP2L1	transcription factor CP2-like 1	HGNC:17925	2q14
TFDP1	Approved symbol	TFDP1	transcription factor Dp-1	HGNC:11749	13q34
TFDP2	Approved symbol	TFDP2	transcription factor Dp-2 (E2F dimerization partner 2)	HGNC:11751	3q23
TFEC	Approved symbol	TFEC	transcription factor EC	HGNC:11754	7q31.2
TGIF1	Approved symbol	TGIF1	TGFB-induced factor homeobox 1	HGNC:11776	18p11.31
TGIF2	Approved symbol	TGIF2	TGFB-induced factor homeobox 2	HGNC:15764	20q11.23
THRA	Approved symbol	THRA	thyroid hormone receptor, alpha	HGNC:11796	17q21.1
THRB	Approved symbol	THRB	thyroid hormone receptor, beta	HGNC:11799	3p24.2
TLX2	Approved symbol	TLX2	T-cell leukemia homeobox 2	HGNC:5057	2p13.1
TOPORS	Approved symbol	TOPORS	topoisomerase I binding, arginine/serine-rich, E3 ubiquitin protein ligase	HGNC:21653	9p21
TP53	Approved symbol	TP53	tumor protein p53	HGNC:11998	17p13.1
TP63	Approved symbol	TP63	tumor protein p63	HGNC:15979	3q27-q29
TP73	Approved symbol	TP73	tumor protein p73	HGNC:12003	1p36.3
TRIM28	Approved symbol	TRIM28	tripartite motif containing 28	HGNC:16384	19q13.4
UBP1	Approved symbol	UBP1	upstream binding protein 1 (LBP-1a)	HGNC:12507	3p22.3
USF1	Approved symbol	USF1	upstream transcription factor 1	HGNC:12593	1q22-q23
USF2	Approved symbol	USF2	upstream transcription factor 2, c-fos interacting	HGNC:12594	19q13
VAX1	Approved symbol	VAX1	ventral anterior homeobox 1	HGNC:12660	10q26.11
VAX2	Approved symbol	VAX2	ventral anterior homeobox 2	HGNC:12661	2p13.3
VDR	Approved symbol	VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	HGNC:12679	12q12-q14
VSX1	Approved symbol	VSX1	visual system homeobox 1	HGNC:12723	20p11.21
VSX2	Approved symbol	VSX2	visual system homeobox 2	HGNC:1975	14q24.3
WT1	Approved symbol	WT1	Wilms tumor 1	HGNC:12796	11p13
XBP1	Approved symbol	XBP1	X-box binding protein 1	HGNC:12801	22q12.1
YY1	Approved symbol	YY1	YY1 transcription factor	HGNC:12856	14q
ZBTB16	Approved symbol	ZBTB16	zinc finger and BTB domain containing 16	HGNC:12930	11q23
ZBTB33	Approved symbol	ZBTB33	zinc finger and BTB domain containing 33	HGNC:16682	Xq23
ZBTB6	Approved symbol	ZBTB6	zinc finger and BTB domain containing 6	HGNC:16764	9q33.1-q33.3
ZBTB7A	Approved symbol	ZBTB7A	zinc finger and BTB domain containing 7A	HGNC:18078	19p13.3
ZBTB7B	Approved symbol	ZBTB7B	zinc finger and BTB domain containing 7B	HGNC:18668	1q21.2
ZEB1	Approved symbol	ZEB1	zinc finger E-box binding homeobox 1	HGNC:11642	10p11.22
ZFP42	Approved symbol	ZFP42	ZFP42 zinc finger protein	HGNC:30949	4q35.2
ZFX	Approved symbol	ZFX	zinc finger protein, X-linked	HGNC:12869	Xp22.1-p21.3
ZIC1	Approved symbol	ZIC1	Zic family member 1	HGNC:12872	3q24
ZIC2	Approved symbol	ZIC2	Zic family member 2	HGNC:12873	13q32
ZIC3	Approved symbol	ZIC3	Zic family member 3	HGNC:12874	Xq24-q27.1
ZNF143	Approved symbol	ZNF143	zinc finger protein 143	HGNC:12928	11p15.4
ZNF148	Approved symbol	ZNF148	zinc finger protein 148	HGNC:12933	3q21.2
ZNF217	Approved symbol	ZNF217	zinc finger protein 217	HGNC:13009	20q13.2
ZNF219	Approved symbol	ZNF219	zinc finger protein 219	HGNC:13011	14q11
ZNF263	Approved symbol	ZNF263	zinc finger protein 263	HGNC:13056	16p13.3
ZNF333	Approved symbol	ZNF333	zinc finger protein 333	HGNC:15624	19p13
ZNF350	Approved symbol	ZNF350	zinc finger protein 350	HGNC:16656	19q13.41
ZNF354C	Approved symbol	ZNF354C	zinc finger protein 354C	HGNC:16736	5q35
ZNF589	Approved symbol	ZNF589	zinc finger protein 589	HGNC:16747	3p21
ZNF628	Approved symbol	ZNF628	zinc finger protein 628	HGNC:28054	19q13.43
ZNF238	Previous symbol	ZBTB18	zinc finger and BTB domain containing 18	HGNC:13030	1q44
ZFP161	Previous symbol	ZBTB14	zinc finger and BTB domain containing 14	HGNC:12860	18p11.31
